sep=	
Time	Channel1	Channel2
0,00044	0,170961	0
0,00046	0,170961	-0,171955
0,00048000000000000007	0,170961	-0,171955
0,0005	0	-0,171955
0,0005200000000000001	0	-0,171955
0,00054	0	-0,171955
0,0005600000000000001	0	-0,171955
0,00058	0,170961	0
0,0006000000000000001	0	-0,171955
0,00062	0	0
0,00064	0	-0,171955
0,0006600000000000001	0,170961	-0,171955
0,00068	0	-0,171955
0,0007000000000000001	0	-0,171955
0,00072	0,170961	0
0,0007400000000000001	0,170961	0
0,00076	0	-0,171955
0,0007800000000000001	0	0
0,0008	0,170961	0
0,0008200000000000001	0	-0,171955
0,00084	0	0
0,0008600000000000001	0,170961	0
0,00088	0	0
0,0009000000000000001	0	0
0,00092	0,170961	0
0,0009400000000000001	0	0
0,0009600000000000001	0	-0,171955
0,0009800000000000002	0	-0,171955
0,001	0	-0,171955
0,00102	-0,170961	-0,171955
0,0010400000000000001	0	-0,171955
0,0010600000000000002	0,170961	-0,171955
0,00108	0,170961	-0,171955
0,0011	0	-0,171955
0,0011200000000000001	0	-0,171955
0,0011400000000000002	0	0
0,00116	0	-0,171955
0,00118	0	0
0,0012000000000000001	0	-0,171955
0,0012200000000000002	0	0
0,00124	0	-0,171955
0,00126	0	0
0,00128	0	0
0,0013000000000000002	0	0
0,0013200000000000002	0	-0,171955
0,00134	0	0
0,00136	0	-0,171955
0,0013800000000000002	-0,170961	-0,171955
0,0014000000000000002	0,170961	0
0,00142	0	0
0,00144	-0,170961	-0,171955
0,0014600000000000001	0	0
0,0014800000000000002	0	0
0,0015	0	-0,34391
0,00152	0,170961	0
0,0015400000000000001	0	0
0,0015600000000000002	-0,170961	0
0,00158	0	0
0,0016	0	-0,171955
0,0016200000000000001	0	-0,171955
0,0016400000000000002	0	0
0,0016600000000000002	-0,170961	0
0,00168	0	-0,171955
0,0017000000000000001	-0,170961	0
0,0017200000000000002	-0,170961	-0,171955
0,0017400000000000002	0	0
0,00176	0	0
0,0017800000000000001	0	-0,171955
0,0018000000000000002	0	-0,171955
0,0018200000000000002	0	-0,171955
0,00184	0	-0,171955
0,00186	-0,170961	-0,171955
0,0018800000000000002	0	0
0,0019000000000000002	-0,170961	0
0,0019200000000000003	0	-0,171955
0,00194	0,170961	0
0,0019600000000000004	0	-0,171955
0,00198	0	0
0,002	-0,170961	-0,171955
0,00202	-0,170961	0
0,00204	0	0
0,00206	-0,170961	-0,171955
0,0020800000000000003	0	-0,171955
0,0021000000000000003	-0,170961	0
0,0021200000000000004	-0,170961	-0,171955
0,00214	0,170961	-0,171955
0,00216	0	-0,171955
0,00218	0	0
0,0022	0	-0,171955
0,00222	0	0
0,0022400000000000002	0	0
0,0022600000000000003	0	0
0,0022800000000000003	0	0
0,0023000000000000004	-0,170961	0
0,00232	0	-0,171955
0,00234	0	0
0,00236	-0,170961	-0,171955
0,00238	0	-0,171955
0,0024000000000000002	-0,170961	-0,171955
0,0024200000000000003	-0,170961	-0,171955
0,0024400000000000003	-0,170961	-0,171955
0,0024600000000000004	0	-0,171955
0,00248	0	-0,171955
0,0025	-0,170961	0
0,00252	0	0
0,00254	-0,341922	-0,171955
0,00256	0	0
